b_no	r_no	agegroup	name	birth	seat
1	40479	1	Yuk JeonRo	2015-11-20	E07
2	43392	1	Seol UnJu	2010-07-21	C07
3	11620	2	Tongbang WangBeom	2018-05-11	B04
4	22932	1	Mae OHae	2002-09-11	E07
5	12547	1	Myo SeomunTang	1995-07-12	B09
6	32834	1	Yun PilSu	1969-08-07	E03
7	47105	1	Jo JuSeomun	2005-05-10	D06
8	38530	1	Kam ToHong	2003-09-28	E01
9	12387	1	Pil TaePi	1995-07-15	C02
10	18710	1	Sam SoSu	1991-04-20	E10
11	11285	1	Nam EogeumJeung	2005-02-15	D02
12	33211	1	Heo NamNo	2003-04-17	D04
13	27976	1	Tok HaeIm	1961-11-12	D06
14	41173	1	Jeup MaSo	1957-09-27	B10
15	43339	2	Pung PyoYa	2020-04-11	D10
16	33881	1	Ye KalSeonu	1950-01-05	C01
17	4652	1	Ya HamHam	1988-02-02	B08
18	42934	1	Pyeong KwakJong	1962-09-09	E04
19	4000	1	Kun MyeongYeong	1952-12-01	B10
20	19922	1	Ja ChoeMan	1953-03-07	E05
21	12029	3	Hyeon JiAe	2022-09-18	A06
22	41657	1	Un BinAe	1954-01-15	B09
23	41771	1	Ye BinTo	2011-01-13	E01
24	6196	1	Seo YePil	1952-10-23	C08
25	12492	1	Kan TonSin	1950-11-06	E04
26	18962	1	Jo JeomEun	2010-08-15	C09
27	3627	1	Bu HanKok	1984-06-05	D01
28	12431	1	Kil MangjeolMin	1974-03-02	A04
29	40154	1	Ka BiBang	1968-03-05	E02
30	14416	1	Eun MubonUn	1975-05-13	A10
31	22309	1	Bok SeomunSeol	2006-12-08	B01
32	24132	1	Jeup KungTan	1955-06-10	A01
33	19558	3	Nu HwangO	2022-12-01	B07
34	34882	1	Bing JeongBok	1963-10-21	D06
35	10139	1	Ji YoJe	1976-09-27	A04
36	3950	2	Ye OngJeup	2021-02-26	B02
37	2684	3	Sobong SiTang	2021-08-16	C01
38	9051	1	Yang UnYe	1956-04-25	B08
39	4007	1	Ri TamSan	2012-01-29	C08
40	24056	1	Rang NaRyeo	1958-06-14	B03
41	39677	1	Chong NaeRi	1953-05-25	A07
42	44415	1	Cheon ImEogeum	1951-11-16	C06
43	16791	3	Nu ChangBo	2021-10-01	C07
44	28431	1	Ro KokSu	2007-09-27	E04
45	21171	1	Seol PiHyeong	1984-07-19	C02
46	4377	1	Eun ToJanggok	1963-07-07	C06
47	28018	1	Eo HanTokko	1972-11-30	C07
48	2032	1	Tae MyeongKung	1979-05-16	C02
49	24247	1	Yeong JongJu	1991-01-31	E09
50	33928	1	Ma KyoNu	2015-10-10	A04
51	15142	1	Byeon SipPil	1961-05-12	E04
52	14994	1	Wan ManSobong	2008-04-23	B03
53	27388	1	Tong BanBaek	1993-03-09	A06
54	4204	1	Kung ChoeKu	1953-11-25	D06
55	36015	1	Kun YeonYeong	2002-04-24	D06
56	47929	1	Ku SongCheon	2013-08-21	D07
57	35717	1	Jong KwakYe	1959-03-08	E03
58	7450	1	Nan PiRi	1998-03-16	A01
59	9066	2	Sim KwakTo	2020-07-12	D07
60	7549	2	Roe UnSeo	2018-07-26	D07
61	35719	1	Ok YeopHae	1988-09-26	E01
62	10846	2	Kang WonBaek	2019-03-03	E09
63	38952	1	Ko MokKo	2009-01-26	B05
64	41831	1	Yeop NamEum	1975-10-10	A01
65	1671	2	Hwangmok HeungJo	2019-04-25	D07
66	959	1	Ye HaTang	1971-06-25	A08
67	43134	1	Heo YoOng	1997-10-22	E08
68	36217	1	Han YeKung	1974-01-27	D09
69	42196	1	Wi SeolKal	2006-07-10	A02
70	12651	1	Geum YeCho	1975-09-28	D06
71	29714	1	Yo BaeYu	1963-11-15	E06
72	44215	1	Choe NaeYe	2008-08-06	B09
73	39088	1	Myeong HwangmokEum	1991-01-24	E09
74	25306	1	Un ChongKil	2014-08-24	A07
75	34853	1	Ye RuChang	1972-12-27	D08
76	16791	1	Yun ChangJong	1997-10-23	D01
77	40073	1	Tang KokNam	1974-05-26	C04
78	34408	1	Ya BongSip	1960-01-14	E10
79	397	1	Eom SanKil	1994-04-18	B03
80	5888	1	Kam BakMa	2000-10-09	B01
81	49586	1	Pyeong MubonKangjŏn	1982-10-12	B10
82	15607	1	Jeong JiBok	1963-12-23	B09
83	20442	1	Heo JeupJanggok	1968-04-25	D07
84	27386	1	Sin MaTok	1952-12-27	A09
85	43385	1	Nu HeungKun	1995-01-15	C07
86	25892	1	Tang HyeonMyeong	1981-08-08	A04
87	36934	1	Bi NamgungYong	2000-09-24	B01
88	25446	1	Mo ChoYuk	1990-04-29	A01
89	16485	1	Wi ChaSeok	1990-05-16	C01
90	36749	1	Hwang ChongSo	1965-08-04	D03
91	1972	1	Pi SagongRyeom	1958-03-27	B07
92	20072	1	Ji KyoYeon	2013-12-07	B03
93	7573	1	Kyo YangSeomun	1976-08-23	A01
94	1	1	Yeo InMangjeol	1968-09-08	A03
95	14582	1	Ya KyeNae	2005-06-14	C05
96	8173	1	Seon ToYeo	1998-04-20	B05
97	34779	1	Chang SeonuRyu	1965-02-06	D04
98	700	1	Hae TangYuk	1950-11-19	D07
99	14738	1	Kun JeoMok	1952-07-19	B06
100	20521	1	Tokko MaUn	1961-07-15	C01
101	3905	1	Tan NoeYeon	2014-06-07	D03
102	38099	1	Ban HakSagong	1962-07-22	A05
103	24075	1	Wan JanggokPyeon	1985-01-27	A06
104	40645	1	Han YoHeo	2016-06-16	D04
105	3048	1	Seong BanSim	1953-05-30	C03
106	28071	2	Jeom OngSagong	2017-08-30	E07
107	27460	1	Jeo URyeo	2003-04-29	B03
108	36556	1	Ra RangRa	1952-01-03	D08
109	19409	1	Bo TamYeop	2008-12-08	D01
110	30590	1	Sa KokChun	2006-12-13	D06
111	38291	1	Heung JunYong	1982-09-19	A10
112	30394	1	Kok SunBak	1980-06-26	C09
113	21528	1	Kan BingMa	1991-04-18	B05
114	44096	1	Ku SeonSong	1996-10-25	E08
115	45498	1	Seong BuMae	1953-12-18	B08
116	4355	1	Pyeon SeungSeop	2004-08-01	C01
117	21104	1	Byeon NoNang	2014-06-16	E05
118	29146	2	Tam RyukSu	2017-08-14	A07
119	19733	1	Sagong RimMyeong	2010-05-09	B04
120	46161	2	Wi PoSun	2019-06-29	E04
121	31666	2	Tan SeopTang	2019-04-23	C06
122	7962	1	Gwok TanHo	2016-04-03	A06
123	25261	1	Rang TaeChu	1969-06-21	C05
124	26821	2	Janggok ToMubon	2019-10-26	B07
125	18271	1	Tang DeungJu	1981-09-02	B03
126	10710	1	Kwan BeonMuk	2016-03-13	D10
127	14676	1	Wan YaGeum	1995-06-11	C04
128	13861	1	Ong EogeumYeom	1981-01-31	A02
129	14240	1	Eom ChangOn	2000-05-10	B10
130	14667	1	Mae ChaeBeon	2008-10-23	B09
131	7022	1	Sagong ChaCho	1988-10-15	D02
132	40343	1	Tak NamYuk	1976-09-29	A02
133	23953	1	Ha SimJeo	1979-10-28	D07
134	43444	1	Bo YuCha	1995-03-17	C07
135	10426	3	Ko NoYeong	2021-08-02	D04
136	31391	1	Jeup SeonSeonu	1962-08-05	E10
137	19306	1	Chae ManRim	1958-06-02	C10
138	44960	1	Bang GeunByeon	1963-09-27	B06
139	29709	1	Namgung RaU	1995-10-13	A02
140	27578	1	Yeom TaMangjeol	1961-03-24	C06
141	33846	1	Sun RyangSan	1984-03-19	C01
142	24514	1	Chae HyeongCha	2001-03-31	C03
143	13799	1	Choe SeoNae	1998-06-15	C09
144	39690	1	Tang KyeKwae	1971-03-09	C09
145	13485	1	O OkMubon	1962-10-12	C10
146	1824	1	Yang SeongMun	1980-11-08	B02
147	49038	1	Bang AnBo	1993-08-09	D04
148	1966	1	Kong MaJegal	1995-04-09	E02
149	18320	1	Pil YeoUn	2005-06-09	C02
150	6556	1	Mi PilEun	2001-06-20	C06
151	35828	1	To NoeBeon	1984-09-22	B02
152	44584	1	Gyeon YeongHwangbo	2013-10-10	A01
153	33484	1	Eom KimJang	1969-01-16	C05
154	5529	1	Cha SimI	2013-02-21	B01
155	37533	1	Ki SiChu	2005-02-16	C09
156	2798	1	Tam KilU	1975-04-14	C06
157	14711	1	Kwae SuKal	1950-11-05	C08
158	16133	1	Sin RangHeo	1967-11-28	C09
159	25238	1	Ham YeCha	1978-12-21	E01
160	41468	2	Kye GeumBu	2018-01-01	E10
161	27898	1	Ban WiSa	1999-11-05	D01
162	7601	1	U KangjŏnOn	2011-07-05	E03
163	23806	1	Bo HeungSeol	1958-09-22	B03
164	27719	1	Noe PiAn	2016-08-24	C06
165	25702	1	I RyeoGwon	2008-10-30	A03
166	32846	1	Bin TangRo	2010-03-23	D03
167	10376	1	Tang GeumJeom	1965-09-26	E02
168	12425	1	Seong MaNamgung	1986-02-10	E02
169	29917	1	Tan TokYeon	1999-08-27	C08
170	38910	1	To ChaIm	1995-05-06	D08
171	80	1	Eogeum RangSeo	1974-09-20	E05
172	38200	1	Kangjŏn TaeJang	1998-06-20	D02
173	13338	1	Bin YunU	1983-02-02	C03
174	15484	1	No NoNang	1971-02-23	C08
175	40444	1	Bok TaSeonu	1967-06-27	B03
176	17117	1	Hu ChangSin	2006-02-08	E02
177	13483	1	Po HaeJeup	1972-02-20	A07
178	5156	1	Chun WiTokko	2003-02-28	D10
179	42661	1	So ChangYeop	1979-02-04	E06
180	8864	1	Ryu MangjeolKye	2016-10-23	C10
181	8509	1	Kil MyoMun	2002-10-10	D09
182	45890	1	Kyo NuYuk	2015-12-13	C10
183	29402	1	Choe KyoEo	1954-05-16	A02
184	17163	1	Pan CheonYong	2017-01-14	B01
185	40000	1	Sagong WiU	2016-03-29	E08
186	42509	1	Tam TuMubon	1960-04-18	D01
187	19683	1	No TamNae	2012-08-21	B01
188	29006	3	Wi MunKyo	2022-08-06	D07
189	25821	1	Jun NuKo	1985-01-24	B10
190	5473	1	Tokko SeungTongbang	2001-01-25	A09
191	195	2	Ku NamgungRyeo	2020-09-28	D05
192	31696	1	Ta ABeon	2010-11-20	B07
193	36632	1	I ChoeMi	1957-09-30	A10
194	12553	1	No BongSa	1968-11-17	C05
195	40614	1	Ru HwangboBing	2014-06-13	C08
196	17066	1	Kil EunPyeong	1988-05-28	D06
197	3680	1	Min MangjeolRa	1982-02-07	C07
198	30127	1	Ryu RimPyeong	1964-11-14	E07
199	27999	1	Eo BingSeol	1991-12-05	D04
200	19442	1	Noe KunRim	1988-11-07	C10
201	44755	1	Nan SaTan	1962-10-07	C05
202	25030	1	Jegal BinPyeon	2006-09-04	B03
203	562	1	Kang BeomKang	2011-01-17	C10
204	13072	1	Mangjeol YoKok	2004-02-09	D07
205	16314	1	Sim UnMubon	2001-06-26	B07
206	47544	1	Yeon KyeHwangbo	2010-12-01	E01
207	24869	1	Mubon GeumSip	1977-09-21	C07
208	10982	1	Chun JongPyo	1961-08-24	C06
209	3003	1	Ryu EomMangjeol	2003-06-27	E03
210	30577	1	Nu JegalHu	1969-09-24	A04
211	32731	1	Eo UnKi	1975-11-06	B10
212	19983	1	Ma YongO	2012-06-17	D09
213	29496	1	On YeopSam	1995-02-26	B08
214	41812	1	Yang KokHong	1997-02-25	C10
215	15866	1	Bi BaekKi	2009-01-04	A09
216	16922	2	Bae AeChun	2019-02-18	E02
217	39576	3	Ae JanggokHyeong	2023-03-22	C04
218	22771	1	Kang AnEum	1982-06-08	B07
219	40851	1	Jeo YongKal	2007-11-25	E04
220	7889	1	Jegal RuUn	1979-06-20	A09
221	13973	1	Jeon BaekIm	1983-07-28	C03
222	43628	1	Hae TaeKal	1996-04-14	D06
223	31725	2	Seon HuUn	2021-01-09	E09
224	41109	1	Byeon RoeYe	1975-05-04	C09
225	35310	1	Kuk YeJanggok	1998-08-02	A01
226	28608	1	Tam ToCha	2003-08-24	A01
227	44057	1	Ro AnTak	1990-06-28	E06
228	35385	1	Mae TamSeol	1967-02-25	C05
229	22180	1	Kung RoeJin	1992-07-06	E07
230	20170	1	Ryu RiChang	1958-09-15	E03
231	31347	1	Ju RaTang	1953-12-29	B02
232	11798	1	Tang SangKung	1986-02-17	D10
233	35865	1	Sun GyeongIm	1987-04-16	E01
234	9776	1	Gwok RyeoEogeum	1982-07-15	C07
235	27267	1	Kwan KwanMok	1961-12-27	E09
236	42956	1	Tak SeonSa	1970-07-01	C01
237	40536	1	Yong ChuChong	1955-02-26	C08
238	2305	3	Kuk BinPan	2023-02-02	E04
239	7230	1	Ra SeoGwok	2002-10-28	A07
240	47861	1	Su SoJe	1964-05-11	A05
241	11597	1	No HoMubon	1962-03-26	B08
242	23653	2	On MubonCha	2018-06-17	A05
243	21531	1	Seung SonTong	1988-03-16	C03
244	3319	1	Mi EumKil	1978-05-28	B05
245	21445	1	Nang JongJun	1955-06-12	C08
246	18024	3	Hwangmok SeonuHyeong	2022-10-17	C04
247	17988	1	Ryu JeonHa	1979-07-27	B10
248	15789	3	Bak SangYang	2021-11-02	A06
249	34399	1	Pung HyeonGwok	1966-02-07	E08
250	42830	1	Nae PyeonSeop	1950-07-10	D05
251	42535	2	Tam AEogeum	2019-12-20	E06
252	29102	1	Yuk SonSeomun	1998-05-30	E02
253	24132	1	Hyeon PungAn	2004-12-09	C09
254	42731	1	Chae GyeonSi	1958-06-03	D04
255	45410	1	Eum NamRo	1999-07-21	B03
256	15303	2	Myeong SongTae	2020-08-11	A08
257	45018	1	Ka WonKal	1986-11-11	C09
258	2995	1	Rang AeRi	2012-12-05	C07
259	12540	3	Ryeo OBan	2022-02-08	A04
260	5295	1	Nae JeonKu	1969-09-14	E09
261	10233	1	Seop NamgungKil	2017-02-05	D02
262	21902	1	Jeon AeRang	1994-02-10	E03
263	7640	1	Muk HongKam	2013-07-09	E05
264	27865	1	Ju BingJang	1963-06-23	B08
265	42376	1	Chong PyoSobong	1979-05-14	A05
266	48671	1	Chu KoJun	1964-11-23	B04
267	34778	1	Jun PilRyu	1986-04-19	E01
268	42608	1	Mun BuKil	1996-03-29	D01
269	49631	1	Hwangbo HuPyo	1994-12-12	A07
270	20117	1	Heung RyukTang	1995-04-24	A05
271	8011	3	Mi ToSon	2022-12-27	D10
272	43176	1	Pung RyeoTo	1978-01-25	D04
273	10075	1	Bing GyeonKyo	1991-03-04	B07
274	2045	1	Yeon JunGyeon	1975-11-26	A06
275	5716	1	Seop SeungHong	1997-11-13	D09
276	35735	2	Ok ChoeSong	2017-08-17	B04
277	45095	1	Eom JangJanggok	1988-01-07	D08
278	26040	1	Kwak BiMo	1970-02-13	C04
279	35590	1	Ok HyeongYeop	1988-07-31	C04
280	164	1	Kok JeomKam	1951-03-25	E03
281	48396	3	Ryeo TaeSu	2021-04-25	A04
282	32114	1	Ta SeopSeon	1973-07-25	B03
283	29976	1	Si NuTu	1982-07-08	B10
284	45487	1	Sam HyeongHyeong	1970-02-13	B02
285	24354	2	A GwonHwan	2019-03-21	B07
286	5562	1	Mangjeol JongMin	1955-05-23	A06
287	16076	1	Sim SeolTon	1964-04-13	E09
288	42232	1	Jeong MokChoe	1972-12-31	D10
289	46291	1	Ryeom BaekMi	1950-08-11	C08
290	2031	1	Mo YeopPyeon	1995-01-18	B05
291	35786	1	Yo HwangmokDeungjeong	1967-02-11	A08
292	9497	1	Kim SeungYo	2002-11-12	A03
293	8097	1	Tongbang BongSip	2010-01-06	B06
294	31852	1	Noe SeolSi	2010-07-10	E08
295	29029	1	Pyeong CheonWang	1958-08-16	D01
296	32601	1	Kam SagongJegal	1981-02-05	A07
297	24451	1	Won PoNam	1958-02-15	A02
298	48615	1	Jun TaeKyo	1996-04-10	A06
299	38387	2	Bing GwonEun	2018-03-21	C06
300	43317	1	Bong GwonKan	1997-03-19	E02
301	34263	1	Sang WiRyeom	2005-08-26	A01
302	46732	1	Kung RoeMuk	1969-02-03	C03
303	18481	1	Kangjŏn SanGwon	1995-06-11	C05
304	15725	2	Jin HwangboHwangmok	2018-02-16	A07
305	519	1	Tu RiKal	1956-06-29	A06
306	25920	1	Ryeo RyukHu	1978-09-03	A09
307	40112	1	Geun SeomunBok	2006-09-16	D10
308	16488	1	Nam JangEogeum	1995-06-22	C08
309	25578	1	Eom KukChong	2002-08-09	E08
310	25807	1	Kan EunJong	1965-05-06	D07
311	42597	1	Ryuk MaengAe	1977-10-25	C03
312	46176	1	Tak NamgungBo	1951-10-23	C02
313	45539	1	Sam JegalNoe	2013-05-27	C09
314	5738	1	Kwae JinU	1964-05-08	E08
315	27440	1	Eo ByeonKo	1962-04-13	C03
316	19416	1	Bak HongMan	1980-07-20	D05
317	9524	1	Eum MuKal	1984-07-30	C01
318	10107	1	Un JaSeon	2005-04-29	D05
319	7815	2	Bo DeungMok	2018-09-01	E03
320	43418	1	Sip MiHa	2005-06-20	C10
321	26713	1	Jegal JeonSi	1992-11-27	A05
322	12842	1	Hwang RoBang	1969-03-24	A10
323	24949	1	Heung CheonKuk	1958-10-17	D05
324	19966	1	Yuk JeonRyang	2014-11-14	D03
325	40228	1	Ban SipMa	1951-12-18	B08
326	21627	1	Jwa TokBing	1963-01-15	D01
327	43948	1	Mangjeol GeunJanggok	2003-10-31	C10
328	23040	1	Mun MoEum	1978-12-28	B05
329	30416	3	Deungjeong BanPi	2022-06-11	B04
330	26146	1	Yeon JoKo	2007-08-03	B08
331	28980	1	Kae EomNa	1951-02-19	C06
332	22622	1	Roe SeokRyang	1973-10-15	D10
333	29543	1	Pil RyeoBak	2007-03-18	A07
334	6353	1	Ja HamJeup	1967-11-13	B07
335	24476	1	Seong SunBeon	2000-03-09	E03
336	39907	1	Won GyeongYeop	2016-05-10	D07
337	6685	1	Ju NaeKung	1986-03-06	C07
338	4345	1	Sagong TaeEom	2000-03-18	D07
339	29555	1	Kun JiBan	1979-01-23	E01
340	7901	1	Pyo SuEom	1980-08-08	B02
341	34975	1	Jeon ARyu	2012-01-07	D09
342	42236	1	Tan JeoYeom	1957-02-15	B09
343	40766	1	Noe MokMa	1969-12-02	B01
344	17443	1	Tang WanChang	1979-02-02	C10
345	838	2	Ryang SeonuGyeong	2019-08-30	C09
346	12494	1	Heung RimEo	1952-02-13	D06
347	47048	1	Son NuSeong	1966-06-20	E07
348	30344	1	Tae TakKangjŏn	1953-12-01	A06
349	39500	3	Ta InSo	2022-06-14	A08
350	3755	1	Min HyeonIn	1997-05-02	B02
351	8869	1	Pyeon YeonNa	2013-05-02	B05
352	14440	1	Ma KaMae	1981-06-26	B02
353	26874	1	Bing HongKangjŏn	1974-06-10	B01
354	26848	1	Hwa HakEom	2015-01-17	D01
355	26193	1	Tam YeonJwa	2008-08-31	C05
356	21439	1	Tu YeomRoe	2008-07-19	B08
357	5639	1	Gyeong PanMo	1956-01-29	E02
358	24938	1	Tak PyeongKyo	1996-08-26	B01
359	8552	3	Sam JeungTa	2022-09-03	E07
360	37306	2	Jun JuKwak	2017-08-13	B03
361	13167	1	Man MyeongPyeong	2000-12-04	E08
362	26132	1	Jong BangChae	1955-04-19	D03
363	34636	1	Wan HwangmokJeup	1979-12-17	C05
364	5625	1	Tae HwangboByeon	1989-07-04	A10
